INE_ID,candidate_name,party,year
301,Manuel da Rocha Moreira,PS,2009
302,Luís Maria Gonçalves dos Santos,B.E.,2009
302,António Jorge da Silva Ribeiro,CDS-PP,2009
302,Mário Jorge Gomes de Figueiredo,PCP-PEV,2009
302,Jorge Manuel Mesquita Fernandes,PND,2009
302,Fernando Ribeiro dos reis,PPD/PSD,2009
302,Alfredo Maria Côrte-Real Souto Neves,PPM,2009
302,Miguel Jorge da Costa Gomes,PS,2009
303,João Guilherme Ribeiro Delgado,B.E.,2009
303,José Miguel Azevedo de Brito,MPT,2009
303,António Manuel Rodrigues Dias,PCP-PEV,2009
303,Ricardo Bruno Antunes Machado Rio,PPD/PSD.CDS-PP.PPM,2009
303,Francisco Soares Mesquita Machado,PS,2009
304,Baltazar Lage de Oliveira Vilela,PCP-PEV,2009
304,Luis Miguel Jorge Gonçalves,PPD/PSD.CDS-PP,2009
304,Joaquim Barroso de Almeida Barreto,PS,2009
305,João Maria Mourão Pulido de Almeida,CDS-PP,2009
305,Luis Heitor da Silva Pires Marinho,PCP-PEV,2009
305,Joaquim Monteiro da Mota e Silva,PPD/PSD,2009
305,Manuel Maria de Araújo Lopes Machado,PS,2009
306,Sónia da Conceição Rodrigues Mendes,B.E.,2009
306,Hersílio Brás Marques,CDS-PP,2009
306,Pedro Miguel Lima Meira,PCP-PEV,2009
306,Fernando João Couto e Cepa,PPD/PSD,2009
306,João paulo Graça da Silva,PPM,2009
306,João Maria de Sousa Nunes da Silva,PS,2009
307,Maria Leonor Pereira Oliveira Castro,PCP-PEV,2009
307,José Humberto Fernandes Castro,PPD/PSD.CDS-PP,2009
307,José Manuel Martins Ribeiro,PS,2009
307,Parcídio Cabral de Almeida Summavielle,XVIII,2009
308,Alberto José Machado Fernandes,B.E.,2009
308,Rui Miguel de Meira Barreira,CDS-PP,2009
308,Cândido Capela Dias,PCP-PEV,2009
308,Domingos Fernandes de Freitas Torres,PCTP/MRPP,2009
308,Vítor Manuel da Silva Ferreira,PPD/PSD,2009
308,António Magalhães da Silva,PS,2009
309,Ana Maria Fernandes Perdigão Antunes,CDS-PP,2009
309,Rodolfo Cardoso Pontes,PCP-PEV,2009
309,Manuel José Torcato Soares Baptista,PPD/PSD,2009
309,António Fernando Chagas de Sousa Lourenço,PS,2009
310,Nuno Ricardo da Costa Marques Roupar,CDS-PP,2009
310,Dora Margarida Alves Lobo,PCP-PEV,2009
310,António José Ferreira Afonso,PPD/PSD,2009
310,Joaquim José Cracel Viana,PS,2009
311,João Manuel Machado Oliveira,B.E.,2009
311,Sílvia Maria Pereira da Cunha,PCP-PEV,2009
311,Albino José da Silva Carneiro,PPD/PSD.CDS-PP,2009
311,Jorge Augusto Mangas Abreu Dantas,PS,2009
312,Ana Rute Sobral Marcelino,B.E.,2009
312,Daniel Ribeiro Padrão Sampaio,PCP-PEV,2009
312,Armindo Borges Alves da Costa,PPD/PSD.CDS-PP,2009
312,José Carlos Reis Campos,PS,2009
313,Sérgio Nuno Nogueira Aire Alves,CDS-PP,2009
313,Luís Manuel Teixeira da Silva,PCP-PEV,2009
313,António Fernando Nogueira Cerqueira Vilela,PPD/PSD,2009
313,Luís Filipe Silva,PS,2009
314,Manuel Moreira Carneiro Ribeiro,B.E.,2009
314,António Joaquim Pereira Veiga,PCP-PEV,2009
314,Luis Miguel Soares Lopes Guimarães,PPD/PSD.CDS-PP,2009
314,Dinis Manuel da Silva Costa,PS,2009
401,Teresa do Carmo Braz Rodrigues Saldanha,PCP-PEV,2009
401,Arsénio da Paixão Tomé Pereira,PPD/PSD.CDS-PP,2009
401,Berta ferreira Milheiro Nunes,PS,2009
402,Liliana Maria da Costa Fernandes,B.E.,2009
402,António Guedes de Almeida,CDS-PP,2009
402,José Manuel Correia S. F. de Castro,PCP-PEV,2009
402,António Jorge Nunes,PPD/PSD,2009
402,Jorge Manuel Nogueiro Gomes,PS,2009
402,Humberto Francisco da Rocha,XIII,2009
403,José Alegre Mesquita,B.E.,2009
403,Maria O. N. C. Candeias,III,2009
403,Manuel Carlos Madureira,PCP-PEV,2009
403,José Luís Correia,PPD/PSD.CDS-PP,2009
403,Manuel Maria C. M. V. Sampayo,PPM,2009
403,Agusto dos Santos Faustino,PS,2009
404,Isaura dos Anjos P. B. Costa,PCP-PEV,2009
404,António Eduardo Morgado,PPD/PSD.CDS-PP,2009
404,José Manuel Caldeira Santos,PS,2009
405,Carlos Manuel Cunha Martins,PCP-PEV,2009
405,Beraldino José Vilarinho Pinto,PPD/PSD.CDS-PP,2009
405,Rui Manuel Rodrigues Vaz,PS,2009
406,Rosa Maria Moscoto Teixeira,PCP-PEV,2009
406,Américo Luís Vale Tomé,PPD/PSD,2009
406,Artur Manuel Rodrigues Nunes,PS,2009
407,Fernando Manuel Bebiano,B.E.,2009
407,Maria G. A. Calejo Pires,CDS-PP,2009
407,David Martins Garrido,PCP-PEV,2009
407,José Maria Lopes Silvano,PPD/PSD,2009
407,Júlia Maria A. L. S. Rodrigues,PS,2009
