INE_ID,Concelho,Inscritos,Votantes,Brancos,Nulos,Votos,Sigla,Mandatos,Abstention (%),year
214,VIDIGUEIRA,5332.0,3596.0,61.0,55.0,175,PPD/PSD,0.0,32.5581395349,2009
214,VIDIGUEIRA,5332.0,3596.0,61.0,55.0,1228,PS,2.0,32.5581395349,2009
301,AMARES,19057.0,12232.0,137.0,146.0,174,PCP-PEV,0.0,35.8136117962,2009
301,AMARES,19057.0,12232.0,137.0,146.0,5763,AP,4.0,35.8136117962,2009
301,AMARES,19057.0,12232.0,137.0,146.0,1790,PPD/PSD,1.0,35.8136117962,2009
301,AMARES,19057.0,12232.0,137.0,146.0,150,B.E.,0.0,35.8136117962,2009
301,AMARES,19057.0,12232.0,137.0,146.0,516,CDS-PP,0.0,35.8136117962,2009
301,AMARES,19057.0,12232.0,137.0,146.0,3556,PS,2.0,35.8136117962,2009
302,BARCELOS,105829.0,78426.0,1172.0,667.0,1140,PCP-PEV,0.0,25.893658638,2009
302,BARCELOS,105829.0,78426.0,1172.0,667.0,1203,PND,0.0,25.893658638,2009
302,BARCELOS,105829.0,78426.0,1172.0,667.0,239,PPM,0.0,25.893658638,2009
302,BARCELOS,105829.0,78426.0,1172.0,667.0,34911,PS,6.0,25.893658638,2009
302,BARCELOS,105829.0,78426.0,1172.0,667.0,33999,PPD/PSD,5.0,25.893658638,2009
302,BARCELOS,105829.0,78426.0,1172.0,667.0,1439,B.E.,0.0,25.893658638,2009
302,BARCELOS,105829.0,78426.0,1172.0,667.0,3656,CDS-PP,0.0,25.893658638,2009
303,BRAGA,150102.0,97961.0,1337.0,839.0,41197,PPD/PSD.CDS-PP.PPM,5.0,34.7370454757,2009
303,BRAGA,150102.0,97961.0,1337.0,839.0,6165,PCP-PEV,0.0,34.7370454757,2009
303,BRAGA,150102.0,97961.0,1337.0,839.0,3815,B.E.,0.0,34.7370454757,2009
303,BRAGA,150102.0,97961.0,1337.0,839.0,685,MPT,0.0,34.7370454757,2009
303,BRAGA,150102.0,97961.0,1337.0,839.0,43923,PS,6.0,34.7370454757,2009
304,CABECEIRAS DE BASTO,17140.0,11287.0,193.0,137.0,7739,PS,5.0,34.1481913652,2009
304,CABECEIRAS DE BASTO,17140.0,11287.0,193.0,137.0,362,PCP-PEV,0.0,34.1481913652,2009
304,CABECEIRAS DE BASTO,17140.0,11287.0,193.0,137.0,2856,PPD/PSD.CDS-PP,2.0,34.1481913652,2009
305,CELORICO DE BASTO,19837.0,14020.0,88.0,128.0,7173,PPD/PSD,4.0,29.3239905228,2009
305,CELORICO DE BASTO,19837.0,14020.0,88.0,128.0,161,PCP-PEV,0.0,29.3239905228,2009
305,CELORICO DE BASTO,19837.0,14020.0,88.0,128.0,6009,PS,3.0,29.3239905228,2009
305,CELORICO DE BASTO,19837.0,14020.0,88.0,128.0,461,CDS-PP,0.0,29.3239905228,2009
306,ESPOSENDE,32065.0,20729.0,392.0,261.0,54,PPM,0.0,35.3531888352,2009
306,ESPOSENDE,32065.0,20729.0,392.0,261.0,4134,PS,1.0,35.3531888352,2009
306,ESPOSENDE,32065.0,20729.0,392.0,261.0,682,PCP-PEV,0.0,35.3531888352,2009
306,ESPOSENDE,32065.0,20729.0,392.0,261.0,344,B.E.,0.0,35.3531888352,2009
306,ESPOSENDE,32065.0,20729.0,392.0,261.0,2649,CDS-PP,1.0,35.3531888352,2009
306,ESPOSENDE,32065.0,20729.0,392.0,261.0,12213,PPD/PSD,5.0,35.3531888352,2009
307,FAFE,50270.0,33275.0,607.0,376.0,5488,PPD/PSD.CDS-PP,1.0,33.8074398249,2009
307,FAFE,50270.0,33275.0,607.0,376.0,16975,PS,5.0,33.8074398249,2009
307,FAFE,50270.0,33275.0,607.0,376.0,8799,IPF,3.0,33.8074398249,2009
307,FAFE,50270.0,33275.0,607.0,376.0,1030,PCP-PEV,0.0,33.8074398249,2009
308,GUIMARÃES,141646.0,93672.0,1348.0,687.0,4367,CDS-PP,0.0,33.8689408808,2009
308,GUIMARÃES,141646.0,93672.0,1348.0,687.0,8216,PCP-PEV,1.0,33.8689408808,2009
308,GUIMARÃES,141646.0,93672.0,1348.0,687.0,882,PCTP/MRPP,0.0,33.8689408808,2009
308,GUIMARÃES,141646.0,93672.0,1348.0,687.0,50158,PS,7.0,33.8689408808,2009
308,GUIMARÃES,141646.0,93672.0,1348.0,687.0,2369,B.E.,0.0,33.8689408808,2009
308,GUIMARÃES,141646.0,93672.0,1348.0,687.0,25645,PPD/PSD,3.0,33.8689408808,2009
309,PÓVOA DE LANHOSO,23553.0,16847.0,112.0,111.0,9032,PPD/PSD,4.0,28.4719568632,2009
309,PÓVOA DE LANHOSO,23553.0,16847.0,112.0,111.0,188,CDS-PP,0.0,28.4719568632,2009
309,PÓVOA DE LANHOSO,23553.0,16847.0,112.0,111.0,140,PCP-PEV,0.0,28.4719568632,2009
309,PÓVOA DE LANHOSO,23553.0,16847.0,112.0,111.0,7264,PS,3.0,28.4719568632,2009
310,TERRAS DE BOURO,8296.0,5767.0,86.0,71.0,97,PCP-PEV,0.0,30.4845708775,2009
310,TERRAS DE BOURO,8296.0,5767.0,86.0,71.0,2393,PPD/PSD,2.0,30.4845708775,2009
310,TERRAS DE BOURO,8296.0,5767.0,86.0,71.0,2913,PS,3.0,30.4845708775,2009
310,TERRAS DE BOURO,8296.0,5767.0,86.0,71.0,207,CDS-PP,0.0,30.4845708775,2009
311,VIEIRA DO MINHO,15218.0,10561.0,109.0,141.0,5034,PPD/PSD.CDS-PP,3.0,30.6019187804,2009
311,VIEIRA DO MINHO,15218.0,10561.0,109.0,141.0,5046,PS,4.0,30.6019187804,2009
311,VIEIRA DO MINHO,15218.0,10561.0,109.0,141.0,97,PCP-PEV,0.0,30.6019187804,2009
311,VIEIRA DO MINHO,15218.0,10561.0,109.0,141.0,134,B.E.,0.0,30.6019187804,2009
312,VILA NOVA DE FAMALICÃO,114008.0,79582.0,1192.0,736.0,25881,PS,4.0,30.1961265876,2009
312,VILA NOVA DE FAMALICÃO,114008.0,79582.0,1192.0,736.0,47174,PPD/PSD.CDS-PP,7.0,30.1961265876,2009
312,VILA NOVA DE FAMALICÃO,114008.0,79582.0,1192.0,736.0,2030,B.E.,0.0,30.1961265876,2009
312,VILA NOVA DE FAMALICÃO,114008.0,79582.0,1192.0,736.0,2569,PCP-PEV,0.0,30.1961265876,2009
313,VILA VERDE,46070.0,30325.0,542.0,354.0,521,PCP-PEV,0.0,34.1762535272,2009
313,VILA VERDE,46070.0,30325.0,542.0,354.0,4826,CDS-PP,1.0,34.1762535272,2009
313,VILA VERDE,46070.0,30325.0,542.0,354.0,13973,PPD/PSD,4.0,34.1762535272,2009
313,VILA VERDE,46070.0,30325.0,542.0,354.0,10109,PS,2.0,34.1762535272,2009
314,VIZELA,20015.0,13884.0,149.0,124.0,454,B.E.,0.0,30.6320259805,2009
314,VIZELA,20015.0,13884.0,149.0,124.0,6830,PS,4.0,30.6320259805,2009
314,VIZELA,20015.0,13884.0,149.0,124.0,445,PCP-PEV,0.0,30.6320259805,2009
314,VIZELA,20015.0,13884.0,149.0,124.0,5882,PPD/PSD.CDS-PP,3.0,30.6320259805,2009
401,ALFÂNDEGA DA FÉ,6149.0,4545.0,53.0,72.0,1987,PPD/PSD.CDS-PP,2.0,26.0855423646,2009
401,ALFÂNDEGA DA FÉ,6149.0,4545.0,53.0,72.0,2389,PS,3.0,26.0855423646,2009
401,ALFÂNDEGA DA FÉ,6149.0,4545.0,53.0,72.0,44,PCP-PEV,0.0,26.0855423646,2009
402,BRAGANÇA,36710.0,21469.0,321.0,298.0,3465,msp,1.0,41.517297739,2009
402,BRAGANÇA,36710.0,21469.0,321.0,298.0,347,PCP-PEV,0.0,41.517297739,2009
402,BRAGANÇA,36710.0,21469.0,321.0,298.0,508,CDS-PP,0.0,41.517297739,2009
402,BRAGANÇA,36710.0,21469.0,321.0,298.0,10345,PPD/PSD,4.0,41.517297739,2009
402,BRAGANÇA,36710.0,21469.0,321.0,298.0,269,B.E.,0.0,41.517297739,2009
402,BRAGANÇA,36710.0,21469.0,321.0,298.0,5916,PS,2.0,41.517297739,2009
403,CARRAZEDA DE ANSIÃES,7674.0,4986.0,41.0,149.0,1169,PS,1.0,35.027365129,2009
403,CARRAZEDA DE ANSIÃES,7674.0,4986.0,41.0,149.0,22,PPM,0.0,35.027365129,2009
403,CARRAZEDA DE ANSIÃES,7674.0,4986.0,41.0,149.0,26,PCP-PEV,0.0,35.027365129,2009
403,CARRAZEDA DE ANSIÃES,7674.0,4986.0,41.0,149.0,114,B.E.,0.0,35.027365129,2009
403,CARRAZEDA DE ANSIÃES,7674.0,4986.0,41.0,149.0,1699,cp,2.0,35.027365129,2009
403,CARRAZEDA DE ANSIÃES,7674.0,4986.0,41.0,149.0,1766,PPD/PSD.CDS-PP,2.0,35.027365129,2009
404,FREIXO DE ESPADA À CINTA,3995.0,3151.0,38.0,58.0,1283,PPD/PSD.CDS-PP,2.0,21.12640801,2009
404,FREIXO DE ESPADA À CINTA,3995.0,3151.0,38.0,58.0,1747,PS,3.0,21.12640801,2009
404,FREIXO DE ESPADA À CINTA,3995.0,3151.0,38.0,58.0,25,PCP-PEV,0.0,21.12640801,2009
405,MACEDO DE CAVALEIROS,19286.0,11393.0,253.0,240.0,4413,PS,3.0,40.9260603547,2009
405,MACEDO DE CAVALEIROS,19286.0,11393.0,253.0,240.0,6148,PPD/PSD.CDS-PP,4.0,40.9260603547,2009
405,MACEDO DE CAVALEIROS,19286.0,11393.0,253.0,240.0,339,PCP-PEV,0.0,40.9260603547,2009
406,MIRANDA DO DOURO,8512.0,6024.0,65.0,89.0,2653,PPD/PSD,2.0,29.2293233083,2009
406,MIRANDA DO DOURO,8512.0,6024.0,65.0,89.0,47,PCP-PEV,0.0,29.2293233083,2009
406,MIRANDA DO DOURO,8512.0,6024.0,65.0,89.0,3170,PS,3.0,29.2293233083,2009
407,MIRANDELA,25280.0,16112.0,194.0,218.0,2681,CDS-PP,1.0,36.2658227848,2009
407,MIRANDELA,25280.0,16112.0,194.0,218.0,147,B.E.,0.0,36.2658227848,2009
407,MIRANDELA,25280.0,16112.0,194.0,218.0,4075,PS,2.0,36.2658227848,2009
407,MIRANDELA,25280.0,16112.0,194.0,218.0,8511,PPD/PSD,4.0,36.2658227848,2009
407,MIRANDELA,25280.0,16112.0,194.0,218.0,286,PCP-PEV,0.0,36.2658227848,2009
408,MOGADOURO,11705.0,7573.0,165.0,163.0,1858,PS,2.0,35.3011533533,2009
408,MOGADOURO,11705.0,7573.0,165.0,163.0,4109,PPD/PSD,4.0,35.3011533533,2009
408,MOGADOURO,11705.0,7573.0,165.0,163.0,86,PCP-PEV,0.0,35.3011533533,2009
408,MOGADOURO,11705.0,7573.0,165.0,163.0,1192,CDS-PP,1.0,35.3011533533,2009
409,TORRE DE MONCORVO,10148.0,6746.0,100.0,123.0,3129,PPD/PSD.CDS-PP,3.0,33.5238470635,2009
409,TORRE DE MONCORVO,10148.0,6746.0,100.0,123.0,3279,PS,4.0,33.5238470635,2009
409,TORRE DE MONCORVO,10148.0,6746.0,100.0,123.0,115,PCP-PEV,0.0,33.5238470635,2009
410,VILA FLOR,8084.0,5134.0,142.0,98.0,316,PCP-PEV,0.0,36.4918357249,2009
410,VILA FLOR,8084.0,5134.0,142.0,98.0,1445,PPD/PSD,1.0,36.4918357249,2009
410,VILA FLOR,8084.0,5134.0,142.0,98.0,2927,PS,4.0,36.4918357249,2009
410,VILA FLOR,8084.0,5134.0,142.0,98.0,206,CDS-PP,0.0,36.4918357249,2009
411,VIMIOSO,6747.0,4277.0,63.0,88.0,2470,PPD/PSD,3.0,36.6088631985,2009
411,VIMIOSO,6747.0,4277.0,63.0,88.0,1628,PS,2.0,36.6088631985,2009
411,VIMIOSO,6747.0,4277.0,63.0,88.0,28,PCP-PEV,0.0,36.6088631985,2009
412,VINHAIS,12145.0,7673.0,150.0,139.0,479,CDS-PP,0.0,36.8217373405,2009
412,VINHAIS,12145.0,7673.0,150.0,139.0,5248,PS,6.0,36.8217373405,2009
412,VINHAIS,12145.0,7673.0,150.0,139.0,1560,PPD/PSD,1.0,36.8217373405,2009
412,VINHAIS,12145.0,7673.0,150.0,139.0,97,PCP-PEV,0.0,36.8217373405,2009
501,BELMONTE,6618.0,4316.0,75.0,72.0,112,B.E.,0.0,34.7839226352,2009
501,BELMONTE,6618.0,4316.0,75.0,72.0,43,PTP,0.0,34.7839226352,2009
501,BELMONTE,6618.0,4316.0,75.0,72.0,2144,PS,3.0,34.7839226352,2009
501,BELMONTE,6618.0,4316.0,75.0,72.0,1314,PPD/PSD,2.0,34.7839226352,2009
501,BELMONTE,6618.0,4316.0,75.0,72.0,67,CDS-PP,0.0,34.7839226352,2009
501,BELMONTE,6618.0,4316.0,75.0,72.0,288,PCP-PEV,0.0,34.7839226352,2009
501,BELMONTE,6618.0,4316.0,75.0,72.0,201,MPT,0.0,34.7839226352,2009
502,CASTELO BRANCO,51234.0,28655.0,544.0,320.0,786,B.E.,0.0,44.0703439122,2009
502,CASTELO BRANCO,51234.0,28655.0,544.0,320.0,20018,PS,8.0,44.0703439122,2009
