INE_ID,name,party
605,Luis Miguel Pereira de Almeida,PPD/PSD.CDS-PP.PPM.MPT
605,João Albino Rainho Ataíde das Neves,PS
606,Victor Manuel Nogueira Dias,CDS-PP
606,Diamantino Jorge Simões Garcia,IX
606,António Flores Tavares,PCP-PEV
606,Maria de Lurdes de Oliveira Castanheira,PS
607,Ana Filomena Leite Amaral,B.E.
607,Marina Maria Matos dos Santos Quaresma,PCP-PEV
607,Filomena Maria Carvalho Martins Oliveira,PPD/PSD.CDS-PP
607,Luís Miguel Correia Antunes,PS
608,Frutuoso Tomé dos Santos Resende,CDS-PP
608,José Carlos Baptista Garrucho,III
608,Maria Conceição Almeida Clemêncio,PCP-PEV
608,Raul José Rei Soares de Almeida,PPD/PSD
608,João Maria Ribeiro Reigota,PS
609,Júlia Maria Ramos Correia,B.E.
609,Ana Isabel Carvalho Sequeira Grade,PCP-PEV
609,Sérgio Luís Rodrigues Sêco,PPD/PSD.CDS-PP
609,António Miguel Costa Baptista,PS
610,Carlos Alberto de Sousa Mendes,B.E.
610,Elisabete Abreu Marques,MPT
610,Jorge Luís Forte Camarneiro,PCP-PEV
610,Abel da Silva de Oliveira Girão,PPD/PSD.CDS-PP
610,Emílio Augusto Ferreira Torrão,PS
611,José Vasco do Amaral Antunes Lencastre de Campos,CDS-PP
611,João Manuel Fontes Dinis,PCP-PEV
611,Cristina Fernandes Oliveira,PPD/PSD
611,José Carlos Alexandrino Mendes,PS
612,Débora Maria Coimbra dos Santos,PCP-PEV
612,José Alberto Pacheco Brito Dias,PPD/PSD
612,Carlos da Costa Dias Ferrão,PS
613,Álvaro Manuel Bernardes Miranda,PCP-PEV
613,Mauro Daniel Rodrigues Carpinteiro,PPD/PSD.CDS-PP
613,Humberto José Batista Oliveira,PS
614,Marc Raymond Camille Ryon,CDS-PP
614,Maria da Graça Gonçalves Pedrosa de Oliveira,PCP-PEV
614,Luis Filipe da Silva Lourenço Matias,PPD/PSD
614,Eduardo Jorge Mendes Nogueira dos Santos,PS
615,Maria Manuela Lucas de Oliveira Santos,PCP-PEV
615,Carlos Manuel da Silva Páscoa,PPD/PSD.CDS-PP.PPM
615,Mário Jorge da Costa Rodrigues Nunes,PS
615,António Fernando da Silva Centeio,XI
616,José Manuel Ferreira de Oliveira,PCP-PEV
616,Nuno Duarte Abranches Pinto,PPD/PSD.CDS-PP
616,Mário Almeida Loureiro,PS
617,Carlos Manuel Neves da Silva Barbas,CDS-PP
617,Graça Catarina Carvalho Serra Marques dos Santos,PCP-PEV
617,Carlos Manuel Soares Henriques,PPD/PSD
617,João Miguel Sousa Henriques,PS
701,Fábio Manuel Roques Pisco,B.E.
701,João José Martins Nabais,I
701,Mariana Rosa Gomes Chilra,PCP-PEV
701,José Joaquim Cebola Gomes,PPD/PSD
701,Manuel José Veladas Ramalho,PS
702,Francisco Luís Monteiro Barbosa,CDS-PP
702,Sílvia Cristina Tirapicos Pinto,PCP-PEV
702,José Adriano Canoa Valente,PPD/PSD
702,Maria Palmira Lourenço Chaveiro,PS
703,António José Lopes Anselmo,I
703,Joaquim José Serra Silva,PCP-PEV
703,Benjamim António Ferreira Espiguinha,PPD/PSD
703,Jerónimo João Pereira Cavaco,PS
704,Paulo Jorge Pereira da Costa,CDS-PP
704,Luis Filipe Pereira Mourinha,I
704,Luis Manuel Modas Condinho,PCP-PEV
704,Manuel José Broa,PPD/PSD
704,José Alberto Leal Fateixa Palmeiro,PS
705,Maria Helena de Carvalho Governo de Figueiredo,B.E.
705,Carlos Manuel Rodrigues Pinto de Sá,PCP-PEV
705,Helder Aguiar Agostinho das Neves,PPD/PSD.CDS-PP
705,Manuel Francisco Grilo Melgão,PS
706,Vítor Manuel Macedo Bombico Silveira Vicente,CDS-PP
706,Hortênsia dos Anjos Chegado Menino,PCP-PEV
706,Maria de Lurdes Pascoal Reis Vacas de Carvalho,PPD/PSD
706,Olimpio Manuel Vidigal Galvão,PS
707,Luís Simão Duarte de Matos,PCP-PEV
707,Joaquim António Rodrigues de Mira,PPD/PSD.CDS-PP
707,João Filipe Chaveiro Libório,PS
708,Pedro Miguel Pires Dias,PCP-PEV
708,Anabela Ramalho Falcato Caixeiro,PPD/PSD.CDS-PP
708,Maria Clara Pimenta Pinto Martins Safara,PS
709,Maria Luísa Venâncio de Sousa Andrade,CDS-PP.PPD/PSD
709,José Francisco Carriço Sabino,PCP-PEV
709,José Manuel Clemente Grilo,PS
710,António Alberto da Maia Tomaz Coelho da Costa,CDS-PP.PPD/PSD
710,David Manuel Palma Grave,PCP-PEV
710,Luís Fernando Gomes Faleiro,PS
710,António José Rega Matos Recto,VII
711,Aníbal José Almeida Rosado,PCP-PEV
711,Francisco Filipe Sousa Zambujinho,PPD/PSD.CDS-PP
711,José Gabriel Paixão Calixto,PS
712,José Maria Rodrigues Figueira,PCP-PEV
712,Joaquim Manuel Marques Barreto Soeiro,PPD/PSD
712,Luís Carlos Piteira Dias,PS
713,João Luís Batista Penetra,PCP-PEV
713,João de Deus Carapeto Fialho,PPD/PSD
713,Bernardino António Bengalinha Pinto,PS
714,Miguel António Patacão Rodrigues,I
714,Inácio José Ludovico Esperança,JPP
714,Manuel João Fontainhas Condenado,PCP-PEV
714,Paulo José Carrasco Rondão,PPD/PSD.CDS-PP
714,Luís Filipe Braguez Caldeirinha Roma,PS
801,Ricardo Jorge Almeida das Neves,CDS-PP.MPT.PPM
801,Ana Maria Marques Simões Prisca Vidigal da Silva,I
801,Suzel Maria da Conceição Martins Pimenta,PCP-PEV
801,Carlos Eduardo Silva e Sousa,PPD/PSD
801,Fernando José dos Santos Anastácio,PS
802,Maria Luísa Fernandes,PCP-PEV
802,José Carlos da Palma Pereira,PPD/PSD
802,Osvaldo dos Santos Gonçalves,PS
803,Hermann Hans Janssen,PCP-PEV
